case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,turn_1,turn_2,turn_3,expected_facts,forbidden_content,expected_citations,expected_tool,expected_behavior,as_of,label_source_resolved
V2-QA-0012,질문→답변 품질 v2,Critical,P2,관리규약 조항,제24조(회의방청),한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,doc-clause:첫마을4단지 관리규약:제24조(회의방청),,입주민이 입주자대표회의를 방청할 수 있나요?,,,방청 신청 발언,,542d3f8b-25ad-4008-8875-bff722562d5d#제24조(회의방청),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제24조(회의방청)
V2-QA-0013,질문→답변 품질 v2,Critical,P2,관리규약 조항,제25조(회의소집절차),한국어,단일,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,doc-clause:첫마을4단지 관리규약:제25조(회의소집절차),,회의 소집은 며칠 전까지 알려야 하나요?,,,5일 전 안건 통지,,542d3f8b-25ad-4008-8875-bff722562d5d#제25조(회의소집절차),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제25조(회의소집절차)
V2-QA-0014,질문→답변 품질 v2,Critical,P2,관리규약 조항,제26조(안건의 제안),한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,doc-clause:첫마을4단지 관리규약:제26조(안건의 제안),,일반 입주민도 회의 안건을 제안할 수 있나요?,,,안건 제안 서면,,542d3f8b-25ad-4008-8875-bff722562d5d#제26조(안건의 제안),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제26조(안건의 제안)
V2-QA-0015,질문→답변 품질 v2,Critical,P2,관리규약 조항,제27조(입주자대표회의 의결사항),한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,doc-clause:첫마을4단지 관리규약:제27조(입주자대표회의 의결사항),,입주자대표회의 의결 정족수는 어떻게 되나요?,,,구성원 과반수 찬성 의결,,542d3f8b-25ad-4008-8875-bff722562d5d#제27조(입주자대표회의 의결사항),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제27조(입주자대표회의 의결사항)
V2-QA-0016,질문→답변 품질 v2,Critical,P2,관리규약 조항,제14조의2(공동주택 내 괴롭힘의 금지 및 발생 시 조치에 관한 사항),한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,doc-clause:첫마을4단지 관리규약:제14조의2(공동주택 내 괴롭힘의 금지 및 발생 시 조치에 관한 사항),,경비원에게 폭언하는 입주민은 어떻게 되나요?,,,폭언 폭행 괴롭힘 조치,,542d3f8b-25ad-4008-8875-bff722562d5d#제14조의2(공동주택 내 괴롭힘의 금지 및 발생 시 조치에 관한 사항),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제14조의2(공동주택 내 괴롭힘의 금지 및 발생 시 조치에 관한 사항)
V2-QA-0017,질문→답변 품질 v2,Critical,P2,관리규약 조항,제14조(업무방해 금지),한국어,단일,RESIDENT,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,doc-clause:첫마을4단지 관리규약:제14조(업무방해 금지),,관리사무소 직원에게 업무 외 지시를 해도 되나요?,,,근로자 부당한 지시 금지,,542d3f8b-25ad-4008-8875-bff722562d5d#제14조(업무방해 금지),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제14조(업무방해 금지)
V2-QA-0018,질문→답변 품질 v2,Critical,P2,관리규약 조항,제9조(입주자 등의 자격),한국어,단일,RESIDENT,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,doc-clause:첫마을4단지 관리규약:제9조(입주자 등의 자격),,입주하면 입주자 명부를 제출해야 하나요?,,,입주자 명부 관리주체 제출,,542d3f8b-25ad-4008-8875-bff722562d5d#제9조(입주자 등의 자격),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제9조(입주자 등의 자격)
V2-QA-0019,질문→답변 품질 v2,Full,P2,관리규약 조항,제10조(입주자 등의 권리),한국어,단일,RESIDENT,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,doc-clause:첫마을4단지 관리규약:제10조(입주자 등의 권리),,입주민에게는 어떤 권리가 있나요?,,,전용부분 주거 목적 선거권,,542d3f8b-25ad-4008-8875-bff722562d5d#제10조(입주자 등의 권리),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제10조(입주자 등의 권리)
V2-QA-0020,질문→답변 품질 v2,Full,P2,관리규약 조항,제20조(동별 대표자 등의 해임 등),한국어,다중 턴,RESIDENT,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,doc-clause:첫마을4단지 관리규약:제20조(동별 대표자 등의 해임 등),,동별 대표자는 어떤 경우에 해임되나요?,해임 절차는요?,,해임 위반 횡령,,542d3f8b-25ad-4008-8875-bff722562d5d#제20조(동별 대표자 등의 해임 등),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제20조(동별 대표자 등의 해임 등)
V2-QA-0021,질문→답변 품질 v2,Full,P2,관리규약 조항,제22조(동별 대표자 등의 선출공고),한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제22조(동별 대표자 등의 선출공고),,동별 대표자 선출공고는 언제까지 해야 하나요?,,,임기만료 60일 전 공고,,542d3f8b-25ad-4008-8875-bff722562d5d#제22조(동별 대표자 등의 선출공고),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제22조(동별 대표자 등의 선출공고)
V2-QA-0022,질문→답변 품질 v2,Full,P2,관리규약 조항,제1조(목적),한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,doc-clause:첫마을4단지 관리규약:제1조(목적),,관리규약은 무엇을 위해 있는 건가요?,,,보호 주거생활 질서유지,,542d3f8b-25ad-4008-8875-bff722562d5d#제1조(목적),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제1조(목적)
V2-QA-0023,질문→답변 품질 v2,Full,P2,관리규약 조항,제2조(적용범위),한국어,단일,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,doc-clause:첫마을4단지 관리규약:제2조(적용범위),,이 규약은 어디에 적용되나요?,,,부대시설 복리시설 대지,,542d3f8b-25ad-4008-8875-bff722562d5d#제2조(적용범위),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제2조(적용범위)
V2-QA-0024,질문→답변 품질 v2,Full,P2,관리규약 조항,제4조(관리대상물),한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,doc-clause:첫마을4단지 관리규약:제4조(관리대상물),,규약의 관리대상물은 어디에 정해져 있나요?,,,관리대상물 별표,,542d3f8b-25ad-4008-8875-bff722562d5d#제4조(관리대상물),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제4조(관리대상물)
V2-QA-0025,질문→답변 품질 v2,Full,P2,관리규약 조항,제6조(입주자대표회의 및 공동주택관리기구),한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,doc-clause:첫마을4단지 관리규약:제6조(입주자대표회의 및 공동주택관리기구),,입주자대표회의와 관리기구는 어디에 두나요?,,,공동주택단지 관리사무소,,542d3f8b-25ad-4008-8875-bff722562d5d#제6조(입주자대표회의 및 공동주택관리기구),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제6조(입주자대표회의 및 공동주택관리기구)
V2-QA-0026,질문→답변 품질 v2,Full,P2,관리규약 조항,제7조(규약 등의 준수의무),한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,doc-clause:첫마을4단지 관리규약:제7조(규약 등의 준수의무),,입주민이 지켜야 할 규정에는 어떤 것들이 있나요?,,,공동주택관리법령 관계규정 준수,,542d3f8b-25ad-4008-8875-bff722562d5d#제7조(규약 등의 준수의무),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제7조(규약 등의 준수의무)
V2-QA-0027,질문→답변 품질 v2,Full,P2,관리규약 조항,제8조(규약의 효력),한국어,단일,RESIDENT,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,doc-clause:첫마을4단지 관리규약:제8조(규약의 효력),,집을 새로 산 사람에게도 규약이 적용되나요?,,,승계 효력,,542d3f8b-25ad-4008-8875-bff722562d5d#제8조(규약의 효력),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제8조(규약의 효력)
V2-QA-0028,질문→답변 품질 v2,Full,P2,관리규약 조항,제19조의2(외부 전문가 등의 위촉),한국어,단일,RESIDENT,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,doc-clause:첫마을4단지 관리규약:제19조의2(외부 전문가 등의 위촉),,감사 업무에 외부 전문가의 자문을 받을 수 있나요?,,,전문가 위촉 자문,,542d3f8b-25ad-4008-8875-bff722562d5d#제19조의2(외부 전문가 등의 위촉),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제19조의2(외부 전문가 등의 위촉)
V2-QA-0029,질문→답변 품질 v2,Full,P2,관리규약 조항,제28조(의결방법),한국어,단일,RESIDENT,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,doc-clause:첫마을4단지 관리규약:제28조(의결방법),,입주자대표회의 의결은 어떤 방법으로 하나요?,,,의결,,542d3f8b-25ad-4008-8875-bff722562d5d#제28조(의결방법),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제28조(의결방법)
V2-QA-0030,질문→답변 품질 v2,Full,P2,관리규약 조항,제29조(재심의),한국어,단일,RESIDENT,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,doc-clause:첫마을4단지 관리규약:제29조(재심의),,한번 의결된 사항을 다시 심의할 수 있나요?,,,재심의,,542d3f8b-25ad-4008-8875-bff722562d5d#제29조(재심의),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제29조(재심의)
V2-QA-0031,질문→답변 품질 v2,Full,P2,관리규약 조항,제30조(회의록),한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제30조(회의록),,회의록은 어떻게 작성하고 공개하나요?,입주민이 열람할 수 있나요?,,회의록,,542d3f8b-25ad-4008-8875-bff722562d5d#제30조(회의록),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제30조(회의록)
V2-QA-0032,질문→답변 품질 v2,Full,P2,관리규약 조항,제30조의2(전자적 방법을 통한 의사결정 등),한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,doc-clause:첫마을4단지 관리규약:제30조의2(전자적 방법을 통한 의사결정 등),,전자투표로도 의사결정을 할 수 있나요?,,,전자적 방법 의사결정,,542d3f8b-25ad-4008-8875-bff722562d5d#제30조의2(전자적 방법을 통한 의사결정 등),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제30조의2(전자적 방법을 통한 의사결정 등)
V2-QA-0033,질문→답변 품질 v2,Full,P2,관리규약 조항,제31조(겸임금지),한국어,단일,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,doc-clause:첫마을4단지 관리규약:제31조(겸임금지),,입주자대표회의 임원이 다른 직을 겸할 수 있나요?,,,겸임,,542d3f8b-25ad-4008-8875-bff722562d5d#제31조(겸임금지),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제31조(겸임금지)
V2-QA-0034,질문→답변 품질 v2,Full,P2,관리규약 조항,제33조(입주자대표회의 의무와 책임),한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,doc-clause:첫마을4단지 관리규약:제33조(입주자대표회의 의무와 책임),,입주자대표회의의 의무와 책임은 무엇인가요?,,,의무 책임,,542d3f8b-25ad-4008-8875-bff722562d5d#제33조(입주자대표회의 의무와 책임),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제33조(입주자대표회의 의무와 책임)
V2-QA-0035,질문→답변 품질 v2,Full,P2,관리규약 조항,제34조(공동주택 활성화 단체 구성 및 활동지원),한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,doc-clause:첫마을4단지 관리규약:제34조(공동주택 활성화 단체 구성 및 활동지원),,부녀회 같은 공동체 단체 지원 규정이 있나요?,,,공동체 활성화 단체 구성,,542d3f8b-25ad-4008-8875-bff722562d5d#제34조(공동주택 활성화 단체 구성 및 활동지원),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제34조(공동주택 활성화 단체 구성 및 활동지원)
V2-QA-0036,질문→답변 품질 v2,Smoke,P1,지침·매뉴얼,승강기 제4조,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc-clause:승강기 자체점검 지침:제4조,,승강기 자체점검은 얼마나 자주 해야 하나요?,,,자체점검 주기,,a5a991da-4cad-42f0-93ce-3560f4396b76#제4조(자체점검  주기),search_documents,answered,,content_chunks doc=a5a991da-4cad-42f0-93ce-3560f4396b76 clause=제4조
V2-QA-0037,질문→답변 품질 v2,Smoke,P1,지침·매뉴얼,승강기 제5조,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc-clause:승강기 자체점검 지침:제5조,,승강기 안전검사는 어떻게 받나요?,,,안전검사,,a5a991da-4cad-42f0-93ce-3560f4396b76#제5조(안전검사),search_documents,answered,,content_chunks doc=a5a991da-4cad-42f0-93ce-3560f4396b76 clause=제5조
V2-QA-0038,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,승강기 제13조,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc-clause:승강기 자체점검 지침:제13조,,승강기 점검에서 지적사항이 나오면 어떻게 조치하나요?,,,지적사항 조치,,a5a991da-4cad-42f0-93ce-3560f4396b76#제13조(지적사항 조치),search_documents,answered,,content_chunks doc=a5a991da-4cad-42f0-93ce-3560f4396b76 clause=제13조
V2-QA-0039,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,승강기 제16조,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc-clause:승강기 자체점검 지침:제16조,,승강기에 사람이 갇히면 구출 절차가 어떻게 되나요?,,,구출,,a5a991da-4cad-42f0-93ce-3560f4396b76#제16조(구출),search_documents,answered,,content_chunks doc=a5a991da-4cad-42f0-93ce-3560f4396b76 clause=제16조
V2-QA-0040,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,승강기 제19조,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc-clause:승강기 자체점검 지침:제19조,,승강기 비상 연락처 게시 규정이 있나요?,,,연락처 게시,,a5a991da-4cad-42f0-93ce-3560f4396b76#제19조(연락처  게시),search_documents,answered,,content_chunks doc=a5a991da-4cad-42f0-93ce-3560f4396b76 clause=제19조
V2-QA-0041,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,부스터펌프 급수설비 매뉴얼,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:부스터펌프 급수설비 매뉴얼,,수압이 낮다는 민원이 들어오면 뭘 먼저 확인해야 하나요?,특정 동만 낮으면요?,,저수조 수위 스트레이너 압력 센서,,a8f3212c-04a9-4cee-995d-c60867b75430,search_documents,answered,,documents id=a8f3212c-04a9-4cee-995d-c60867b75430
V2-QA-0042,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,부스터펌프 급수설비 매뉴얼,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:부스터펌프 급수설비 매뉴얼,,계획 단수는 며칠 전에 공지해야 하나요?,,,3일 전 공지 생활용수,,a8f3212c-04a9-4cee-995d-c60867b75430,search_documents,answered,,documents id=a8f3212c-04a9-4cee-995d-c60867b75430
V2-QA-0043,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,부스터펌프 급수설비 매뉴얼,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:부스터펌프 급수설비 매뉴얼,,급수 부스터펌프는 몇 대이고 어떻게 운전하나요?,,,3대 교번 운전 예비 인버터,,a8f3212c-04a9-4cee-995d-c60867b75430,search_documents,answered,,documents id=a8f3212c-04a9-4cee-995d-c60867b75430
V2-QA-0044,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,지하주차장 환기설비 운전 매뉴얼,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:지하주차장 환기설비 운전 매뉴얼,,지하주차장 일산화탄소 농도가 높아지면 어떻게 하나요?,,,25ppm 고속 30ppm 출입 제한,,a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a,search_documents,answered,,documents id=a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a
V2-QA-0045,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,지하주차장 환기설비 운전 매뉴얼,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:지하주차장 환기설비 운전 매뉴얼,,심야 시간대 환기팬 운전 기준은요?,,,심야 저속 운전,,a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a,search_documents,answered,,documents id=a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a
V2-QA-0046,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,지하주차장 환기설비 운전 매뉴얼,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:지하주차장 환기설비 운전 매뉴얼,,지하주차장 환기팬은 몇 대인가요?,,,급기팬 4대 배기팬 4대,,a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a,search_documents,answered,,documents id=a777b75f-22a5-48c8-a0db-5ccb6c0e0d9a
V2-QA-0047,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,수변전설비(전기실) 안전관리 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:수변전설비(전기실) 안전관리 지침,,정전 작업 공지는 언제 해야 하나요?,,,7일 전 1일 전 공지,,6abbfab6-49bf-4b13-99a4-5be5f301097c,search_documents,answered,,documents id=6abbfab6-49bf-4b13-99a4-5be5f301097c
V2-QA-0048,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,수변전설비(전기실) 안전관리 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:수변전설비(전기실) 안전관리 지침,,우리 단지 수전용량은 얼마인가요?,,,"2,250kW",,6abbfab6-49bf-4b13-99a4-5be5f301097c,search_documents,answered,,documents id=6abbfab6-49bf-4b13-99a4-5be5f301097c
V2-QA-0049,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,수변전설비(전기실) 안전관리 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:수변전설비(전기실) 안전관리 지침,,전기차 충전기를 늘릴 때 뭘 검토해야 하나요?,,,계약전력 변압기 용량 최대 부하,,6abbfab6-49bf-4b13-99a4-5be5f301097c,search_documents,answered,,documents id=6abbfab6-49bf-4b13-99a4-5be5f301097c
V2-QA-0050,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,수변전설비(전기실) 안전관리 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:수변전설비(전기실) 안전관리 지침,,정전이 발생하면 가장 먼저 뭘 확인하나요?,,,승강기 갇힘 비상 조명,,6abbfab6-49bf-4b13-99a4-5be5f301097c,search_documents,answered,,documents id=6abbfab6-49bf-4b13-99a4-5be5f301097c
V2-QA-0051,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,기계실 열교환기(지역난방) 운전 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:기계실 열교환기(지역난방) 운전 지침,,급탕 공급 온도 기준이 몇 도인가요?,,,55도 50도 60도,,56ea5971-08b4-44c6-ba78-22ba9dc4e4a1,search_documents,answered,,documents id=56ea5971-08b4-44c6-ba78-22ba9dc4e4a1
V2-QA-0052,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,기계실 열교환기(지역난방) 운전 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:기계실 열교환기(지역난방) 운전 지침,,열교환기 세관은 언제 하나요?,,,10월 난방기 개시,,56ea5971-08b4-44c6-ba78-22ba9dc4e4a1,search_documents,answered,,documents id=56ea5971-08b4-44c6-ba78-22ba9dc4e4a1
V2-QA-0053,질문→답변 품질 v2,Critical,P1,지침·매뉴얼,기계실 열교환기(지역난방) 운전 지침,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:기계실 열교환기(지역난방) 운전 지침,,급탕 중단이 필요한 정비는 언제 공지하나요?,,,3일 전 공지,,56ea5971-08b4-44c6-ba78-22ba9dc4e4a1,search_documents,answered,,documents id=56ea5971-08b4-44c6-ba78-22ba9dc4e4a1
