case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,required_tools,pair_id,turn_1,turn_2,turn_3,expected_facts,forbidden_content
V2-GR-0011,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p06,스프링클러 헤드에서 누수가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0012,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p06,스프링클러 헤드에서 누수가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0013,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p07,지하주차장 환기팬 소음 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0014,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p07,지하주차장 환기팬 소음 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0015,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p08,홈네트워크 서버 고장으로 월패드에 문제가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0016,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p08,홈네트워크 서버 고장으로 월패드에 문제가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0017,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p09,놀이터 미끄럼틀 이음부에 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0018,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p09,놀이터 미끄럼틀 이음부에 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0019,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p10,EV충전기 통신 오류가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0020,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p10,EV충전기 통신 오류가 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0021,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,,,우리 집 월패드가 먹통이에요. 관련 설비에 과거 문제가 있었나요?,지금은 정상으로 복구됐나요?,,,
V2-GR-0022,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,home-device:수도 차단밸브,,,,화장실 수도가 약한데 급수 설비에 이력이 있나요?,,,,
V2-GR-0023,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,home-device:온도조절기,,,,온수가 시원찮아요. 난방 설비에 과거 문제가 있었나요?,,,,
V2-GR-0024,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,home-device:난방 분배기,,,,난방이 잘 안 돼요. 관련 설비 이력을 알려주세요.,,,,
V2-GR-0025,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,home-device:화재감지기,,,,우리 집 화재감지기가 연결된 설비에 점검 이력이 있나요?,,,,
V2-GR-0026,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,home-device:통신단자함,,,,우리 집 인터넷이 자꾸 끊겨요. 통신 관련 설비에 문제가 있었나요?,,,,
V2-GR-0027,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,home-device:보일러,,,,보일러 온수가 미지근해요. 난방 설비에 과거 문제가 있었나요?,,,,
V2-GR-0028,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,home-device:콘센트,,,,거실 콘센트가 안 돼요. 연결된 전기 설비에 장애 이력이 있나요?,,,,
V2-GR-0029,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,home-device:분전함,,,,세대 분전함과 연결된 설비에 과거 문제가 있었나요?,,,,
V2-GR-0030,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,home-device:가스밸브,,,,주방 가스밸브가 이상한데 연결된 설비 이력이 있나요?,,,,
V2-GR-0031,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:에어컨 배관,,,,에어컨 배관에서 물이 새는데 관련 설비 이력이 있나요?,,,,
V2-GR-0032,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,다중 턴,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,home-device:가스밸브,,,,우리 집 가스밸브가 잠기지 않아요. 연결된 설비에 문제가 있었나요?,그럼 어디에 문의해야 하나요?,,,
V2-GR-0033,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 재발,,,,부스터펌프 진동이 재발했는데 근본 원인이 뭔가요? 앞선 장애와 연결해서 설명해 주세요.,,,,
V2-GR-0034,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 재발,,,,부스터펌프에서 진동이 또 발생했어요. 왜 반복되나요?,이전 장애와 어떻게 연결되나요?,,,
V2-GR-0035,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:월패드 승강기 호출,,,,월패드에서 승강기 호출이 안 되는데 근본 원인이 무엇 때문인가요? 연쇄 원인을 설명해 주세요.,,,,
V2-GR-0036,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:월패드 승강기 호출,,,,세대 월패드로 승강기를 못 부르는 장애의 최초 원인이 무엇인가요?,,,,
V2-GR-0037,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:중계기 통신 불량 반복,,,,화재수신반 중계기 통신 불량이 반복되는데 근본 원인이 뭔가요? 앞선 징후와 연결해 주세요.,,,,
V2-GR-0038,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:중계기 통신 불량 반복,,,,중계기 통신 불량이 자꾸 재발합니다. 무엇 때문인가요?,최초 징후는 언제였나요?,,,
V2-GR-0039,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 증가,,,,부스터펌프 진동이 점점 심해진 원인이 무엇 때문인가요? 연쇄로 설명해 주세요.,,,,
V2-GR-0040,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 증가,,,,부스터펌프 진동 증가의 근본 원인이 저수조 수위센서와 연결되나요?,,,,
CX-R01,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,search_documents,find_nearest_available_parking",,"우리 집 월패드가 자꾸 먹통인데 과거 관련 설비 문제 이력 봐주고, 홈네트워크 관련 관리규약 조항 있으면 알려주고, 오늘 방문객 와서 가까운 빈 주차자리도 알려줘.",,,,타 세대 정보
CX-R02,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,get_fees",,"우리 집 월패드 과거 문제 이력 확인해주고, 이번 달 우리 집 관리비도 알려줘.",,,,타 세대 정보
CX-R03,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,"find_nearest_available_parking,get_fees",,"가까운 빈 주차자리 알려주고, 이번 달 관리비 얼마 나왔는지도 알려줘.",,,,타 세대 정보
CX-R04,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,get_my_inquiries",,"우리 집 기기 문제 이력 봐주고, 내가 접수한 민원 처리 상태도 알려줘.",,,,타 세대 정보
CX-R05,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,"search_documents,find_nearest_available_parking",,"반려동물 관련 관리규약 알려주고, 가까운 빈 주차자리도 알려줘.",,,,
CX-R06,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,"find_in_floor_plan,find_nearest_available_parking",,"우리 집 평면도에서 콘센트 위치 알려주고, 가까운 빈 주차자리도 알려줘.",,,,
CX-R07,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,search_documents",,"우리 집 월패드 고장 원인 봐주고, 홈네트워크 관련 규정 문서도 찾아줘.",,,,
CX-R08,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest:ev,,"get_fees,get_my_inquiries,find_nearest_available_parking",,"이번 달 관리비랑, 내 민원 상태랑, 전기차 충전 가능한 가까운 빈자리도 알려줘.",,,,타 세대 정보
CX-R09,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,"search_documents,find_nearest_available_parking",,"관리비 산정 방식 관리규약 조항 알려주고, 가까운 빈 주차자리도 알려줘.",,,,
CX-R10,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest:ev,,"find_nearest_available_parking,find_in_floor_plan",,"전기차 충전 가능한 가까운 빈자리 알려주고, 우리 집 평면도 콘센트 위치도 알려줘.",,,,
CX-R11,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,home-device:월패드,,"trace_home_device_issue,find_nearest_available_parking",,"우리 집 월패드 이력 확인해주고, 가까운 빈 주차자리도 알려줘.",,,,
CX-R12,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,"get_my_inquiries,find_nearest_available_parking",,"내 민원 처리 상태 알려주고, 가까운 빈 주차자리도 알려줘.",,,,타 세대 정보
CX-M01,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,search_documents,get_overdue_checks",,"승강기 주로프 마모 이력 원인 찾아주고, 관련 정비 규정 문서도, 점검 기한 임박 설비 목록도 알려줘.",,,,타 세대 정보
CX-M02,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,get_facilities",,"부스터펌프 진동 이력 원인 봐주고, 현재 펌프 설비가 몇 대 있는지도 알려줘.",,,,타 세대 정보
CX-M03,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,get_facilities,get_overdue_checks",,"화재수신반 통신불량 이력 원인이랑, 소방 설비 현황이랑, 점검 임박 설비 다 알려줘.",,,,타 세대 정보
CX-M04,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,search_documents",,"지역난방 열교환기 차압조절밸브 문제 이력 원인이랑, 지역난방 관련 규정 문서도 찾아줘.",,,,타 세대 정보
CX-M05,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,get_overdue_checks",,"스프링클러 헤드 누수 이력 원인 봐주고, 점검 기한 임박한 설비도 알려줘.",,,,타 세대 정보
CX-M06,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,search_documents,get_facilities",,"404동 승강기 주로프 이력 원인이랑, 관련 규정 문서랑, 승강기 설비 현황 전부 알려줘.",,,,타 세대 정보
CX-M07,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,get_facilities,get_overdue_checks",,"충전기 고장 이력 원인 봐주고, 충전기 설비 현황이랑 점검 임박 설비도 알려줘.",,,,타 세대 정보
CX-M08,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-관리,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,"search_facility_graph,get_facilities",,"CCTV 장애 이력 원인이랑, CCTV 설비가 몇 대인지도 알려줘.",,,,타 세대 정보
PK-01,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,find_nearest_available_parking,,가까운 빈 주차자리 어디 있어?,,,,
PK-02,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,find_nearest_available_parking,,지금 주차할 수 있는 가장 가까운 자리 알려줘.,,,,
PK-03,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest:ev,,find_nearest_available_parking,,전기차 충전 되는 가까운 빈자리 있어?,,,,
PK-04,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,find_nearest_available_parking,,우리 동 근처 빈 주차면 알려줘.,,,,
PK-05,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,find_nearest_available_parking,,주차하려는데 가장 가까운 자리 어디야?,,,,
PK-06,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,find_nearest_available_parking,,빈 주차자리 가까운 순으로 알려줘.,,,,
PK-07,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest:ev,,find_nearest_available_parking,,"전기차라서 충전 자리 필요해, 가까운 데 있어?",,,,
PK-08,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,find_nearest_available_parking,,방문객 주차 어디가 제일 가까워?,,,,
PK-09,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,find_nearest_available_parking,,지하주차장에 빈 데 있나?,,,,
PK-10,질문→답변 품질 v2,Full,P1,복합·라우팅,주차,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,parking:nearest,,find_nearest_available_parking,,가까운 주차 자리 좀 찾아줘.,,,,
GC-01,질문→답변 품질 v2,Full,P1,복합·라우팅,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:부스터펌프,,search_facility_graph,,"부스터펌프에서 진동이 자꾸 재발하는데, 원래 원인이 뭔지 끝까지 짚어줘.",,,,
GC-03,질문→답변 품질 v2,Full,P1,복합·라우팅,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:화재수신반,,search_facility_graph,,화재수신반 통신 불량이 반복돼요. 진짜 원인이 뭔가요?,,,,
GC-04,질문→답변 품질 v2,Full,P1,복합·라우팅,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:부스터펌프,,search_facility_graph,,"부스터펌프 진동이 점점 심해지는데, 최초 원인까지 확인해줄 수 있나요?",,,,
IQ-01,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,similar-inquiries,,search_similar_inquiries,,월패드 버튼을 눌러도 반응이 없어요.,,,,개인정보 평문
IQ-02,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,similar-inquiries,,search_similar_inquiries,,아랫집인데 층간소음이 심해요.,,,,개인정보 평문
IQ-03,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,similar-inquiries,,search_similar_inquiries,,온수가 미지근해요.,,,,개인정보 평문
IQ-04,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,similar-inquiries,,search_similar_inquiries,,전기차 충전기 충전이 안 돼요.,,,,개인정보 평문
IQ-05,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,similar-inquiries,,search_similar_inquiries,,이중주차 차량 때문에 못 나가고 있어요.,,,,개인정보 평문
IQ-06,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,similar-inquiries,,search_similar_inquiries,,현관 도어록 건전지 경고음이 계속 울려요.,,,,개인정보 평문
IQ-07,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,inquiries:mine,,,,제가 접수한 민원 처리 어떻게 됐나요?,,,,타인 민원 제목·내용·세대 정보
IQ-08,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,inquiries:mine,,,,제 민원 진행 상태만 알려주세요.,,,,타인 민원 제목·내용·세대 정보
IQ-09,질문→답변 품질 v2,Full,P1,복합·라우팅,민원 트리아지,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제60조(층간소음 생활규칙 등),,,,층간소음 생활규칙에서 밤에 금지되는 행위가 뭔가요?,,,"오후 10시부터 다음날 오전 6시까지 뛰거나 크게 소리나게 닫는 행위, 망치질 등 세대내부 수리, 악기 연주 등을 금지한다",
MT-01,질문→답변 품질 v2,Full,P1,대화·되묻기,멀티턴,한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,fees:latest,,,,이번 달 관리비 얼마 나왔어요?,지난달보다 오른 건가요?,,,
MT-02,질문→답변 품질 v2,Full,P1,대화·되묻기,멀티턴,한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제60조(층간소음 생활규칙 등),,,,층간소음 생활규칙에서 밤에 금지되는 행위가 뭔가요?,그 시간대는 몇 시부터인가요?,,,
MT-03,질문→답변 품질 v2,Full,P1,대화·되묻기,멀티턴,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,facilities:count:EL,,,,승강기 설비가 몇 대 등록돼 있나요?,그중 고장 상태인 건 몇 대인가요?,,,
CL-01,질문→답변 품질 v2,Full,P1,대화·되묻기,되묻기,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,clarify:고장 난 대상 설비,,,,고장 났는데 언제 고쳐주나요?,,,,
CL-02,질문→답변 품질 v2,Full,P1,대화·되묻기,되묻기,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,clarify:대상 설비와 기간,,,,그건 언제 하기로 했나요?,,,,
CL-N1,질문→답변 품질 v2,Full,P1,대화·되묻기,되묻기 대조군,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,fees:latest,,,,이번 달 우리 집 관리비 총액이 얼마인가요?,,,,
CL-N2,질문→답변 품질 v2,Full,P1,대화·되묻기,되묻기 대조군,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,overdue:window,,,,7일 이내에 점검해야 하는 설비가 몇 대인가요?,,,,
CX-R13,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,fees:latest,,"get_fees,search_documents",,이번 달 관리비 얼마 나왔어? 납부기한도 알려줘.,,,,임의 계산 금액·타 세대 금액
CX-R14,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-공지,한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,notices:8월 승강기 정기점검 실시 안내 - 403동|하반기 저수조 청소 및 단수 안내 - 403동|공용부 전기설비 정기점검 및 일시 정전 안내 - 403동,,search_documents,,"이번 달 우리 동 승강기 점검, 단수, 정전 일정을 날짜순으로 알려줘.",,,"08월 04일 09:30~11:00, 08월 18일 09:00~11:00, 08월 25일 10:00부터 11:00",타 동 일정 혼입·요청하지 않은 공지(실내소독 등) 추가
CX-R15,질문→답변 품질 v2,Full,P2,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,fees:2026-06,,"get_fees,search_documents",,우리집 6월 관리비랑 관리비 납부 규정 알려줘.,,,,임의 계산 금액·타 세대 금액
